施設名,住所,延床面積,建築年度,用途,管理者,出典ファイル,用途地域リンク
安治川1号港湾労働者休憩所,大阪市港区石田3-3-38,51.17,1987,一般会計その他施設一般会計その他施設休憩所・トイレ／休憩所・トイレ,指定管理（無料施設）大阪港湾局 計画整備部 振興課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.442596&mpy=34.661041&gprj=3
安治川2号港湾労働者休憩所,大阪市港区石田1-5-41,46.64,1990,一般会計その他施設一般会計その他施設休憩所・トイレ／休憩所・トイレ,指定管理（無料施設）大阪港湾局 計画整備部 振興課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.449707&mpy=34.668369&gprj=3
マーメイド広場便所,大阪市港区海岸通1,29.70,1994,一般会計その他施設一般会計その他施設休憩所・トイレ／休憩所・トイレ,直営 大阪港湾局 施設管理部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.429184&mpy=34.653755&gprj=3
港区土地区画整理記念・交流会館民間貸付施設,大阪市港区磯路1-7-17,350.7,2024,一般会計その他施設一般会計その他施設一般会計その他施設一般会計その他施設,有償貸付 港区役所,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461746&mpy=34.668053&gprj=3
天保山渡船場左岸待合所,大阪市港区築港3-2-25,81.49,1990,インフラ関係施設／渡船施設,直営 建設局 西部方面管理事務所,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.431503&mpy=34.657246&gprj=3
甚兵衛渡船場右岸待合所,大阪市港区福崎1-3-50,24.90,1992,インフラ関係施設／渡船施設,直営 建設局 西部方面管理事務所,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461761&mpy=34.656944&gprj=3
天保山船客上屋,大阪市港区築港3-11-8,"5,785.43",2022,インフラ関係施設／渡船施設,直営 大阪港湾局 施設管理部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.431213&mpy=34.656689&gprj=3
天保山西岸壁船客待合所,大阪市港区海岸通1-101,26.73,2021,インフラ関係施設／渡船施設,直営 大阪港湾局 施設管理部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.429184&mpy=34.653755&gprj=3
角落扉倉庫（三十間堀川）,大阪市港区八幡屋4-8,481.71,1974,インフラ関係施設／その他一般会計インフラ施設その他一般会計インフラ施設,直営 大阪港湾局 施設管理部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.446808&mpy=34.651314&gprj=3
市岡自転車保管所管理事務所,大阪市港区市岡4-4-8,20.66,1997,インフラ関係施設／自転車保管所管理事務所,全部委託 建設局 総務部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.463882&mpy=34.659851&gprj=3
弁天町北自転車保管所管理事務所,大阪市港区波除3-13,25.65,2001,インフラ関係施設／自転車保管所管理事務所,全部委託 建設局 総務部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461105&mpy=34.671108&gprj=3
大阪港駅自転車駐車場管理事務所,大阪市港区築港4-1-2,6.48,2016,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.432846&mpy=34.65358&gprj=3
朝潮橋駅自転車駐車場管理事務所,大阪市港区夕凪2-18,12.56,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.449661&mpy=34.660545&gprj=3
朝潮橋駅自転車駐車場北側管理ボックス,大阪市港区田中3-1,3.89,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.444778&mpy=34.659412&gprj=3
弁天町西駅自転車駐車場管理事務所,大阪市港区弁天1-3-2,12.56,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461197&mpy=34.668385&gprj=3
弁天町東駅自転車駐車場管理事務所,大阪市港区波除3-11-3,12.56,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.462769&mpy=34.66906&gprj=3
朝潮橋駅自転車駐車場南側管理ボックス,大阪市港区田中3-1,1.44,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.444778&mpy=34.659412&gprj=3
弁天町駅西自転車駐車場管理ボックス,大阪市港区弁天1-3,1.44,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.460663&mpy=34.668488&gprj=3
弁天町駅東自転車駐車場管理ボックス,大阪市港区波除3-11,3.89,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.462173&mpy=34.670193&gprj=3
弁天町駅東自転車駐車場高架下管理ボックス,大阪市港区波除3-1,1.44,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.463898&mpy=34.669662&gprj=3
弁天町駅東自転車駐車場北側管理ボックス,大阪市港区波除3-13,1.44,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461105&mpy=34.671108&gprj=3
磯路中央公園,大阪市港区磯路2-17,25.80,1994,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.458771&mpy=34.665707&gprj=3
三先公園,大阪市港区三先2-3,19.20,1996,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.452515&mpy=34.659798&gprj=3
市岡元町公園,大阪市港区市岡元町3-12,19.20,1997,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.46402&mpy=34.666698&gprj=3
市岡公園,大阪市港区市岡4-6,11.00,1995,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461823&mpy=34.658802&gprj=3
築港南公園,大阪市港区築港1-2,19.20,2003,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.438339&mpy=34.652863&gprj=3
天保山公園,大阪市港区築港3-2,19.20,1999,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.432526&mpy=34.657024&gprj=3
東田中公園,大阪市港区田中1-1,19.20,2002,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.451599&mpy=34.66531&gprj=3
入舟公園,大阪市港区八幡屋1-4,10.80,1994,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.44754&mpy=34.65712&gprj=3
波除公園,大阪市港区波除5-5,24.17,1994,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.460739&mpy=34.674335&gprj=3
八幡屋公園,大阪市港区田中3-1,"1,064.18",1993,インフラ関係施設／公園付帯施設,指定管理（無料施設）建設局 公園緑化部 公園課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.444778&mpy=34.659412&gprj=3
夕凪公園,大阪市港区夕凪2-6,21.12,2004,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.451843&mpy=34.662819&gprj=3
池島公園,大阪市港区池島2-4,19.20,1996,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.453812&mpy=34.657146&gprj=3
第1・2突堤中臨港緑地,大阪市港区海岸通3-3,9.50,1990,インフラ関係施設／公園付帯施設,直営 大阪港湾局 施設管理部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.439819&mpy=34.65036&gprj=3
第1・2突堤北臨港緑地,大阪市港区海岸通3-4,9.38,1974,インフラ関係施設／公園付帯施設,直営 大阪港湾局 施設管理部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.442368&mpy=34.648899&gprj=3
弁天ふ頭臨港緑地,大阪市港区弁天6-7,9.38,1974,インフラ関係施設／公園付帯施設,直営 大阪港湾局 施設管理部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.452896&mpy=34.67218&gprj=3
もと夕凪寮,大阪市港区夕凪2-5-22,994.52,1978,もと施設,福祉局 総務部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.45224&mpy=34.662678&gprj=3
もと港母子家庭集いの家,大阪市港区夕凪2-5-22,52.13,1978,もと施設,こども青少年局 企画部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.45224&mpy=34.662678&gprj=3
もと天保山緑地,大阪市港区海岸通1,24.50,1990,もと施設,大阪港湾局 計画整備部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.429184&mpy=34.653755&gprj=3
もと天保山人工地盤関係施設,大阪市港区海岸通1-1-10,"6,822.77",1990,もと施設,大阪港湾局 計画整備部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.43074&mpy=34.655342&gprj=3
もと市岡商業高等学校,大阪市港区弁天1-5-23,"10,692.75",1959,もと施設,教育委員会事務局総務部 施設整備課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.457825&mpy=34.66922&gprj=3
もと港勤労青少年ホーム,大阪市港区磯路2-11-10,498.45,1973,もと施設,こども青少年局 子育て支援部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.460358&mpy=34.664711&gprj=3
もと港図書館,大阪市港区弁天2-1-5,598.63,1981,もと施設,教育委員会事務局中央図書館 総務担当,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.458725&mpy=34.667591&gprj=3
もと港区老人福祉センター,大阪市港区夕凪2-5-22,496.67,1978,もと施設,福祉局 高齢者施策部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.45224&mpy=34.662678&gprj=3
もと港区民センター,大阪市港区弁天2-1-5,1989.37,1981,もと施設,港区役所,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.458725&mpy=34.667591&gprj=3
もと教育センター,大阪市港区弁天1-1-6,10063.26,1984,もと施設,教育委員会事務局総合教育ｾﾝﾀｰ 管理担当,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461365&mpy=34.668621&gprj=3
大正図書館,大阪市大正区千島2-6-15,644.44,1986,教育・文化・スポーツ施設図書館／地域図書館,直営（一部委託） 教育委員会事務局中央図書館 総務担当,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.47197&mpy=34.650673&gprj=3
大正区民ホール,大阪市大正区千島2-7-95,801.23,1972,教育・文化・スポーツ施設会館・ホール／区役所附設会館,直営 大正区役所,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.472366&mpy=34.650146&gprj=3
大正会館,大阪市大正区千島2-6-15,"1,866.67",1986,教育・文化・スポーツ施設会館・ホール／区役所附設会館,指定管理（利用料金施設）大正区役所 地域協働課,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.47197&mpy=34.650673&gprj=3
大正地区文化交流プラザ,大阪市大正区小林東3-3-25,"2,323.05",1999,教育・文化・スポーツ施設会館・ホール／その他会館・ホールその他会館・ホール,有償貸付 都市整備局 市街地整備部,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.472107&mpy=34.647575&gprj=3
千島体育館,大阪市大正区千島2-7-93,"4,068.86",1974,教育・文化・スポーツ施設スポーツ施設／体育館,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.472244&mpy=34.650028&gprj=3
大正スポーツセンター,大阪市大正区小林東3-3-25,"5,147.79",1999,教育・文化・スポーツ施設スポーツ施設／スポーツセンター,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.472107&mpy=34.647575&gprj=3
大正屋内プール,大阪市大正区小林東3-3-25,"2,481.51",1999,教育・文化・スポーツ施設スポーツ施設／屋内プール,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.472107&mpy=34.647575&gprj=3
マリンテニスパーク北村,大阪市大正区北村3-3-70,978.17,1991,教育・文化・スポーツ施設スポーツ施設／その他スポーツ施設庭球場,有償貸付 都市整備局 市街地整備部,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.464142&mpy=34.650497&gprj=3
三軒家西幼稚園,大阪市大正区三軒家西1-23-23,927.09,1976,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.476578&mpy=34.664585&gprj=3
大正区老人福祉センター,大阪市大正区泉尾3-9-16,"1,086.23",1976,社会福祉・保健施設老人福祉施設／老人福祉センター,指定管理（無料施設）福祉局 高齢者施策部 高齢福祉課,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.472366&mpy=34.657616&gprj=3
大正保育所,大阪市大正区平尾2-23-5,781.40,1979,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.473999&mpy=34.641796&gprj=3
大浪保育所,大阪市大正区三軒家東2-5-4,411.52,1975,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.480438&mpy=34.662212&gprj=3
千島保育所,大阪市大正区千島2-4-38,544.90,1978,社会福祉・保健施設児童福祉施設／公立保育所（公設置民営）,全部委託 こども青少年局 幼保施策部,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.476105&mpy=34.649757&gprj=3
大正北保育所,大阪市大正区泉尾2-8-8,452.65,1976,社会福祉・保健施設児童福祉施設／公立保育所（公設置民営）,全部委託 こども青少年局 幼保施策部,08_taishou_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.47348&mpy=34.659386&gprj=3
